artist,time,title,day,month,station
Sam Smith,1:49 PM,Too Good At Goodbyes,1,12,star101.3
Lady Gaga,1:46 PM,Paparazzi,1,12,star101.3
P!nk,1:42 PM,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",1,12,star101.3
Red Hot Chili Peppers,1:38 PM,Under The Bridge,1,12,star101.3
Katy Perry,1:34 PM,Teenage Dream,1,12,star101.3
Sam Hunt,1:32 PM,Body Like A Back Road,1,12,star101.3
Alanis Morissette,1:28 PM,You Oughta Know,1,12,star101.3
B.o.B,1:26 PM,Nothin' On You (feat. Bruno Mars),1,12,star101.3
Charlie Puth,1:21 PM,Attention,1,12,star101.3
Train,1:18 PM,Drive By,1,12,star101.3
U2 & Kygo,1:14 PM,You’re The Best Thing About Me,1,12,star101.3
Big Mountain,1:10 PM,"Baby, I Love Your Way",1,12,star101.3
P!nk,1:06 PM,What About Us,1,12,star101.3
Phillip Phillips,1:03 PM,Home,1,12,star101.3
Sia,12:59 PM,Chandelier,1,12,star101.3
David Guetta,12:54 PM,Without You (feat. Usher),1,12,star101.3
Kelly Clarkson,12:48 PM,Love So Soft,1,12,star101.3
Coldplay,12:44 PM,Viva La Vida,1,12,star101.3
Niall Horan,12:41 PM,Slow Hands,1,12,star101.3
Christina Aguilera,12:37 PM,Beautiful,1,12,star101.3
Alessia Cara,12:33 PM,Scars To Your Beautiful,1,12,star101.3
Imagine Dragons,12:30 PM,Demons,1,12,star101.3
Ed Sheeran,12:26 PM,Perfect,1,12,star101.3
Shawn Mendes,12:22 PM,There's Nothing Holdin' Me Back,1,12,star101.3
Adele,12:19 PM,Rolling in the Deep,1,12,star101.3
P!nk,12:14 PM,Beautiful Trauma,1,12,star101.3
Justin Timberlake,12:11 PM,What Goes Around...Comes Around (Mysto & Pizzi Main Mix),1,12,star101.3
Portugal. The Man,12:08 PM,Feel It Still,1,12,star101.3
Katy Perry,12:05 PM,E.T.,1,12,star101.3
Walk the Moon,12:01 PM,Shut Up and Dance,1,12,star101.3
Fun.,11:57 AM,Some Nights,1,12,star101.3
Coldplay,11:54 AM,Viva La Vida,1,12,star101.3
Kesha,11:49 AM,Praying,1,12,star101.3
Rihanna,11:45 AM,Only Girl (In The World),1,12,star101.3
blink-182,11:43 AM,All The Small Things,1,12,star101.3
Maroon 5,11:39 AM,What Lovers Do,1,12,star101.3
Mumford & Sons,11:35 AM,I Will Wait,1,12,star101.3
James Arthur,11:31 AM,Say You Won't Let Go,1,12,star101.3
Echosmith,11:29 AM,Cool Kids,1,12,star101.3
Demi Lovato,11:22 AM,Sorry Not Sorry,1,12,star101.3
Kelly Clarkson,11:18 AM,Already Gone,1,12,star101.3
P!nk,11:11 AM,Just Like a Pill,1,12,star101.3
Ed Sheeran,11:07 AM,Shape of You,1,12,star101.3
Anna Kendrick,11:05 AM,Cups (Pitch Perfect’s “When I’m Gone”),1,12,star101.3
Justin Timberlake,11:01 AM,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")",1,12,star101.3
Green Day,10:59 AM,Wake Me Up When September Ends,1,12,star101.3
Max,10:50 AM,Lights Down Low,1,12,star101.3
Katy Perry,10:47 AM,The One That Got Away,1,12,star101.3
Plain White T's,10:43 AM,Hey There Delilah,1,12,star101.3
P!nk,10:39 AM,What About Us,1,12,star101.3
Fun.,10:35 AM,We Are Young (feat. Janelle Monáe),1,12,star101.3
Maroon 5,10:32 AM,She Will Be Loved,1,12,star101.3
Alanis Morissette,10:31 AM,Head Over Feet,1,12,star101.3
Imagine Dragons,10:26 AM,Thunder,1,12,star101.3
Rihanna,10:22 AM,Stay,1,12,star101.3
Adele,10:18 AM,Water Under the Bridge,1,12,star101.3
Backstreet Boys,10:14 AM,Larger Than Life,1,12,star101.3
Ed Sheeran,10:10 AM,Perfect,1,12,star101.3
MAGIC!,10:06 AM,Rude,1,12,star101.3
P!nk,10:02 AM,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",1,12,star101.3
TLC,9:58 AM,Waterfalls,1,12,star101.3
Goo Goo Dolls,9:53 AM,Slide,1,12,star101.3
Portugal. The Man,9:46 AM,Feel It Still,1,12,star101.3
Charlie Puth,9:39 AM,Attention,1,12,star101.3
Sam Smith,9:36 AM,Too Good At Goodbyes,1,12,star101.3
OneRepublic,9:32 AM,Good Life,1,12,star101.3
Matchbox Twenty,9:28 AM,Unwell,1,12,star101.3
The Chainsmokers & Coldplay,9:19 AM,Something Just Like This,1,12,star101.3
The Cranberries,9:14 AM,Linger,1,12,star101.3
Maroon 5,9:11 AM,What Lovers Do,1,12,star101.3
Lorde,9:08 AM,Royals,1,12,star101.3
X Ambassadors,9:04 AM,Renegades,1,12,star101.3
Jason Mraz,9:00 AM,I Won't Give Up,1,12,star101.3
Sam Hunt,8:47 AM,Body Like A Back Road,1,12,star101.3
Katy Perry,8:43 AM,Wide Awake,1,12,star101.3
Shawn Mendes,8:37 AM,There's Nothing Holdin' Me Back,1,12,star101.3
Kelly Clarkson,8:34 AM,Love So Soft,1,12,star101.3
Coldplay,8:30 AM,Yellow,1,12,star101.3
Rihanna,8:19 AM,We Found Love,1,12,star101.3
Fountains of Wayne,8:15 AM,Stacy's Mom,1,12,star101.3
James Arthur,8:10 AM,Say You Won't Let Go,1,12,star101.3
Usher feat. Pitbull,8:06 AM,DJ Got Us Fallin' In Love,1,12,star101.3
P!nk,8:02 AM,What About Us,1,12,star101.3
Kesha,7:58 AM,Praying,1,12,star101.3
Britney Spears,7:50 AM,(You Drive Me) Crazy,1,12,star101.3
Fun.,7:46 AM,Some Nights,1,12,star101.3
Shawn Mendes,7:43 AM,Stitches (MTV Unplugged),1,12,star101.3
Ed Sheeran,7:36 AM,Perfect,1,12,star101.3
OneRepublic,7:32 AM,All The Right Moves,1,12,star101.3
Alanis Morissette,7:29 AM,You Learn,1,12,star101.3
P!nk,7:18 AM,Beautiful Trauma,1,12,star101.3
James Blunt,7:15 AM,You're Beautiful,1,12,star101.3
Justin Bieber,7:10 AM,What Do You Mean?,1,12,star101.3
The Script,7:06 AM,Breakeven,1,12,star101.3
Portugal. The Man,7:03 AM,Feel It Still,1,12,star101.3
Elle King,6:49 AM,Ex's & Oh's,1,12,star101.3
Charlie Puth,6:45 AM,Attention,1,12,star101.3
Christina Perri,6:41 AM,A Thousand Years,1,12,star101.3
Maroon 5,6:38 AM,What Lovers Do,1,12,star101.3
Kelly Clarkson,6:34 AM,Catch My Breath,1,12,star101.3
Neon Trees,6:21 AM,Animal,1,12,star101.3
P!nk,6:17 AM,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",1,12,star101.3
Fun.,6:14 AM,Carry On,1,12,star101.3
Bruno Mars,6:04 AM,Just the Way You Are,1,12,star101.3
Ed Sheeran,6:00 AM,Shape of You,1,12,star101.3
Michelle Branch,5:56 AM,All You Wanted,1,12,star101.3
Miley Cyrus,5:53 AM,Party In The U.S.A.,1,12,star101.3
Imagine Dragons,5:50 AM,Thunder,1,12,star101.3
Alessia Cara,5:46 AM,Scars To Your Beautiful,1,12,star101.3
Train,5:37 AM,"Hey, Soul Sister",1,12,star101.3
Shawn Mendes,5:34 AM,There's Nothing Holdin' Me Back,1,12,star101.3
Ed Sheeran,5:30 AM,Perfect,1,12,star101.3
Rachel Platten,5:22 AM,Fight Song,1,12,star101.3
Demi Lovato,5:19 AM,Sorry Not Sorry,1,12,star101.3
Red Hot Chili Peppers,5:16 AM,Californication,1,12,star101.3
Adele,5:06 AM,Hello,1,12,star101.3
One Direction,5:02 AM,Story of My Life,1,12,star101.3
Andy Grammer,4:58 AM,"Honey, I'm Good.",1,12,star101.3
Flo Rida,4:55 AM,My House,1,12,star101.3
Andy Grammer,4:52 AM,Smoke Clears,1,12,star101.3
Twenty One Pilots,4:49 AM,Stressed Out,1,12,star101.3
The All-American Rejects,4:45 AM,Gives You Hell,1,12,star101.3
Taylor Swift,4:42 AM,Style,1,12,star101.3
Portugal. The Man,4:39 AM,Feel It Still,1,12,star101.3
Nico & Vinz,4:35 AM,Am I Wrong,1,12,star101.3
Eagle-Eye Cherry,4:32 AM,Save Tonight,1,12,star101.3
Ed Sheeran,4:27 AM,Castle on the Hill,1,12,star101.3
Charli XCX,4:25 AM,Boom Clap,1,12,star101.3
Charli XCX,4:25 AM,Boom Clap,1,12,star101.3
Plain White T's,4:21 AM,Hey There Delilah,1,12,star101.3
Mumford & Sons,4:16 AM,I Will Wait,1,12,star101.3
Bruno Mars,4:13 AM,That's What I Like,1,12,star101.3
Gym Class Heroes,4:10 AM,Stereo Hearts (feat. Adam Levine),1,12,star101.3
Taylor Swift,4:06 AM,Look What You Made Me Do,1,12,star101.3
Jason Derulo,4:03 AM,Want to Want Me,1,12,star101.3
Charlie Puth,3:59 AM,One Call Away,1,12,star101.3
Charlie Puth,3:56 AM,How Long,1,12,star101.3
Red Hot Chili Peppers,3:52 AM,Under The Bridge,1,12,star101.3
David Guetta,3:49 AM,Titanium (feat. Sia),1,12,star101.3
Ed Sheeran,3:45 AM,Shape of You,1,12,star101.3
Fergie,3:42 AM,A Little Work,1,12,star101.3
Bruno Mars,3:38 AM,Locked Out Of Heaven,1,12,star101.3
Passenger,3:34 AM,Let Her Go,1,12,star101.3
Twenty One Pilots,3:31 AM,Heathens,1,12,star101.3
Kelly Clarkson,3:28 AM,Love So Soft,1,12,star101.3
MAGIC!,3:24 AM,Rude,1,12,star101.3
Green Day,3:22 AM,Good Riddance (Time of Your Life),1,12,star101.3
Charlie Puth,3:18 AM,How Long,1,12,star101.3
Daya,3:15 AM,Hide Away,1,12,star101.3
Barenaked Ladies,3:12 AM,One Week,1,12,star101.3
Lukas Graham,3:08 AM,7 Years,1,12,star101.3
Clean Bandit,3:05 AM,Rockabye,1,12,star101.3
Panic! At the Disco,3:02 AM,I Write Sins Not Tragedies,1,12,star101.3
Taylor Swift,2:59 AM,...Ready For It?,1,12,star101.3
Fitz & the Tantrums,2:55 AM,HandClap,1,12,star101.3
Ed Sheeran,2:51 AM,Perfect,1,12,star101.3
Sia,2:48 AM,Santa's Coming For Us,1,12,star101.3
Third Eye Blind,2:44 AM,Semi-Charmed Life (2006 Remastered Version),1,12,star101.3
Bruno Mars,2:41 AM,Grenade,1,12,star101.3
Charlie Puth,2:37 AM,Attention,1,12,star101.3
Vance Joy,2:34 AM,Lay It On Me,1,12,star101.3
Echosmith,2:31 AM,Cool Kids,1,12,star101.3
Fun.,2:27 AM,Carry On,1,12,star101.3
Fun.,2:27 AM,Carry On,1,12,star101.3
Andy Grammer,2:24 AM,"Honey, I'm Good.",1,12,star101.3
Flo Rida,2:21 AM,My House,1,12,star101.3
Twenty One Pilots,2:17 AM,Ride (feat. MUTEMATH),1,12,star101.3
Jason Mraz,2:14 AM,I'm Yours,1,12,star101.3
Portugal. The Man,2:11 AM,Feel It Still,1,12,star101.3
Lorde,2:08 AM,Royals,1,12,star101.3
Daniel Powter,2:04 AM,Bad Day,1,12,star101.3
Paramore,2:00 AM,Ain't It Fun,1,12,star101.3
Bruno Mars,1:57 AM,That's What I Like,1,12,star101.3
Michelle Branch,1:53 AM,Everywhere,1,12,star101.3
Ed Sheeran,1:49 AM,Castle on the Hill,1,12,star101.3
Coldplay,1:45 AM,A Sky Full of Stars,1,12,star101.3
Taylor Swift,1:42 AM,Look What You Made Me Do,1,12,star101.3
Andy Grammer,1:39 AM,Smoke Clears,1,12,star101.3
Gnarls Barkley,1:36 AM,Crazy,1,12,star101.3
Charli XCX,1:33 AM,Boom Clap,1,12,star101.3
Charlie Puth,1:30 AM,One Call Away,1,12,star101.3
Charlie Puth,1:27 AM,How Long,1,12,star101.3
Charlie Puth,1:27 AM,How Long,1,12,star101.3
Jason Derulo,1:24 AM,Want to Want Me,1,12,star101.3
Calvin Harris,1:20 AM,Feel So Close (Extended Mix),1,12,star101.3
Daya,1:17 AM,"Sit Still, Look Pretty",1,12,star101.3
Ed Sheeran,1:13 AM,Shape of You,1,12,star101.3
Twenty One Pilots,1:10 AM,Stressed Out,1,12,star101.3
The Cure,1:06 AM,Friday I'm In Love,1,12,star101.3
Kelly Clarkson,1:03 AM,Love So Soft,1,12,star101.3
Nico & Vinz,1:00 AM,Am I Wrong,1,12,star101.3
Sam Smith,12:58 AM,Too Good At Goodbyes,1,12,star101.3
Lady Gaga,12:54 AM,Just Dance,1,12,star101.3
Andy Grammer,12:51 AM,Smoke Clears,1,12,star101.3
Nico & Vinz,12:48 AM,Am I Wrong,1,12,star101.3
Charlie Puth,12:47 AM,Attention,1,12,star101.3
Rachel Platten,12:42 AM,Broken Glass,1,12,star101.3
One Direction,12:39 AM,What Makes You Beautiful,1,12,star101.3
Nico & Vinz,12:36 AM,Am I Wrong,1,12,star101.3
P!nk,12:35 AM,What About Us,1,12,star101.3
Fergie,12:33 AM,A Little Work,1,12,star101.3
Adele,12:29 AM,Water Under the Bridge,1,12,star101.3
U2 & Kygo,12:25 AM,You’re The Best Thing About Me,1,12,star101.3
Katy Perry featuring Snoop Dogg,12:21 AM,California Gurls (feat. Snoop Dogg),1,12,star101.3
Aerosmith,12:17 AM,"I Don't Want to Miss a Thing (From the Touchstone film, ""Armageddon"")",1,12,star101.3
Charlie Puth,12:13 AM,How Long,1,12,star101.3
Ed Sheeran,12:09 AM,Perfect,1,12,star101.3
Fun.,12:05 AM,Carry On,1,12,star101.3
Alessia Cara,12:01 AM,Scars To Your Beautiful,1,12,star101.3
Third Eye Blind,11:57 PM,Semi-Charmed Life (2006 Remastered Version),30,11,star101.3
Taylor Swift,11:53 PM,...Ready For It?,30,11,star101.3
P!nk,11:49 PM,Sober,30,11,star101.3
Shawn Mendes,11:46 PM,There's Nothing Holdin' Me Back,30,11,star101.3
Fergie,11:46 PM,A Little Work,30,11,star101.3
Bruno Mars,11:44 PM,Treasure,30,11,star101.3
Fergie,11:41 PM,A Little Work,30,11,star101.3
Kelly Clarkson,11:37 PM,Love So Soft,30,11,star101.3
Mark Ronson feat. Bruno Mars,11:33 PM,Uptown Funk,30,11,star101.3
Portugal. The Man,11:31 PM,Feel It Still,30,11,star101.3
Fergie,11:31 PM,A Little Work,30,11,star101.3
Ed Sheeran,11:28 PM,Sing,30,11,star101.3
Macklemore,11:25 PM,Good Old Days (feat. Kesha),30,11,star101.3
Christina Aguilera,11:22 PM,Genie in a Bottle,30,11,star101.3
James Arthur,11:18 PM,Say You Won't Let Go,30,11,star101.3
Taio Cruz,11:15 PM,Dynamite,30,11,star101.3
P!nk,11:11 PM,Beautiful Trauma,30,11,star101.3
Adele,11:07 PM,Send My Love (To Your New Lover),30,11,star101.3
Maroon 5,11:04 PM,What Lovers Do,30,11,star101.3
OneRepublic,11:00 PM,Secrets,30,11,star101.3
Macklemore,11:00 PM,Good Old Days (feat. Kesha),30,11,star101.3
Coldplay,10:58 PM,A Sky Full of Stars,30,11,star101.3
Ed Sheeran,10:55 PM,Perfect,30,11,star101.3
Mariah Carey,10:51 PM,Always Be My Baby,30,11,star101.3
X Ambassadors,10:48 PM,Renegades,30,11,star101.3
Demi Lovato,10:44 PM,Sorry Not Sorry,30,11,star101.3
